label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200,rc_204
Bank admin - Get token,0.33400,0.62000,0.62000,2579,1,0,0.00000,1,1,0.62000,0.62000,0.62000,0.62000,0.62000,0.62000,0.62000,1,
Bank admin - Get global account,0.00000,0.07300,0.07300,2259,1,0,0.00000,1,1,0.07300,0.07300,0.07300,0.07300,0.07300,0.07300,0.07300,1,
Bank admin - Get user device,0.00000,0.05900,0.06000,2005,1,0,0.00000,1,1,0.06000,0.06000,0.06000,0.06000,0.06000,0.06000,0.06000,1,
Bank admin - Get company search list,0.00000,5.78100,5.80500,21790,1,0,0.00100,1,1,5.80400,5.80400,5.80400,5.80400,5.80400,5.80400,5.80400,1,
Bank admin - Get company by part of an id,0.00000,5.73900,5.74100,21797,1,0,0.00100,1,1,5.74000,5.74000,5.74000,5.74000,5.74000,5.74000,5.74000,1,
Bank admin - Get company by exact id,0.00000,5.02100,5.02100,21791,1,0,0.00100,1,1,5.02000,5.02000,5.02000,5.02000,5.02000,5.02000,5.02000,1,
Bank admin - Get company edit,0.00000,0.15800,0.15900,2556,1,0,0.00000,1,1,0.15900,0.15900,0.15900,0.15900,0.15900,0.15900,0.15900,1,
Bank admin - Get user search list,0.00000,4.16600,4.17900,21926,1,0,0.00100,1,1,4.17600,4.17600,4.17600,4.17600,4.17600,4.17600,4.17600,1,
Bank admin - Get list of users from a company,0.00000,0.12400,0.12600,2507,1,0,0.00000,1,1,0.12600,0.12600,0.12600,0.12600,0.12600,0.12600,0.12600,1,
Bank admin - Get user edit,0.00000,0.14300,0.14300,2305,1,0,0.00000,1,1,0.14300,0.14300,0.14300,0.14300,0.14300,0.14300,0.14300,1,
Bank admin - Get company reports - hedges,0.00000,0.13100,0.13100,1875,1,0,0.00000,1,1,0.13100,0.13100,0.13100,0.13100,0.13100,0.13100,0.13100,1,
Bank admin - Get company reports - manual trade,0.00000,0.07600,0.07600,1875,1,0,0.00000,1,1,0.07600,0.07600,0.07600,0.07600,0.07600,0.07600,0.07600,1,
Bank admin - Get company reports - hedge history,0.00000,0.04400,0.73200,8352737,1,0,0.00000,1,1,0.73200,0.73200,0.73200,0.73200,0.73200,0.73200,0.73200,1,
Bank admin - Get company financial messages,0.00000,0.07800,0.07800,1875,1,0,0.00000,1,1,0.07800,0.07800,0.07800,0.07800,0.07800,0.07800,0.07800,1,
Bank admin - Get company hierarchy,0.00000,0.25600,0.25600,2579,1,0,0.00000,1,1,0.25600,0.25600,0.25600,0.25600,0.25600,0.25600,0.25600,1,
Bank admin - Get bank admin users list,0.00000,0.12400,0.12400,3140,1,0,0.00000,1,1,0.12400,0.12400,0.12400,0.12400,0.12400,0.12400,0.12400,1,
Bank admin - Get en language config in v1,0.00000,0.05800,0.06700,282291,1,0,0.00000,1,1,0.06700,0.06700,0.06700,0.06700,0.06700,0.06700,0.06700,1,
Bank admin - Get en language config in v2,0.00000,0.06100,0.07000,282187,1,0,0.00000,1,1,0.07000,0.07000,0.07000,0.07000,0.07000,0.07000,0.07000,1,
Bank admin - User logout,0.00000,0.00000,0.04800,510,1,0,0.00000,1,1,0.04800,0.04800,0.04800,0.04800,0.04800,0.04800,0.04800,,1